2024-06-17 12:33:02: Ищу первую свечу по акции UKUZ
2024-06-17 12:33:09: Ищу первую свечу по акции UNAC
2024-06-17 12:33:14: Ищу первую свечу по акции UNKL
2024-06-17 12:33:18: Ищу первую свечу по акции UPRO
2024-06-17 12:33:23: Ищу первую свечу по акции URKZ
2024-06-17 12:33:29: Ищу первую свечу по акции USBN
2024-06-17 12:33:34: Ищу первую свечу по акции UTAR
2024-06-17 12:33:38: Ищу первую свечу по акции VEON-RX
2024-06-17 12:33:38: Ошибка получения даты первой свечи по акции VEON-RX
2024-06-17 12:33:38: Ищу первую свечу по акции VGSB
2024-06-17 12:33:44: Ищу первую свечу по акции VGSBP
2024-06-17 12:33:48: Ищу первую свечу по акции VJGZ
2024-06-17 12:33:54: Ищу первую свечу по акции VJGZP
2024-06-17 12:34:00: Ищу первую свечу по акции VKCO
2024-06-17 12:34:05: Ищу первую свечу по акции VLHZ
2024-06-17 12:34:10: Ищу первую свечу по акции VRSB
2024-06-17 12:34:17: Ищу первую свечу по акции VRSBP
2024-06-17 12:34:24: Ищу первую свечу по акции VSMO
2024-06-17 12:34:29: Ищу первую свечу по акции VSYD
2024-06-17 12:34:35: Ищу первую свечу по акции VSYDP
2024-06-17 12:34:40: Ищу первую свечу по акции VTBR
2024-06-17 12:34:47: Ищу первую свечу по акции WTCM
2024-06-17 12:34:53: Ищу первую свечу по акции WTCMP
2024-06-17 12:34:59: Ищу первую свечу по акции WUSH
2024-06-17 12:35:03: Ищу первую свечу по акции YAKG
2024-06-17 12:35:08: Ищу первую свечу по акции YKEN
2024-06-17 12:35:13: Ищу первую свечу по акции YKENP
2024-06-17 12:35:20: Ищу первую свечу по акции YNDX
2024-06-17 12:35:26: Ищу первую свечу по акции YRSB
2024-06-17 12:35:31: Ищу первую свечу по акции YRSBP
2024-06-17 12:35:36: Ищу первую свечу по акции ZAYM
2024-06-17 12:35:39: Ищу первую свечу по акции ZILL
2024-06-17 12:35:46: Ищу первую свечу по акции ZVEZ
2024-06-17 12:37:14: Обновляем базу данных.
2024-06-17 12:37:14: Занимаемся акцией 'ABIO'
